"","Host","Anisakis_TimeEffect","Anisakis_time_p","Anisakis_Host_Influence","Anisakis_HostBurden"
"1","Acanthodraco dewitti",0.02056437987206,0.00288004363535733,-5.4318826651488e-05,-0.00461523344157378
"2","Acipenser gueldenstaedtii",0.0204334763230387,0.00288612380931851,-0.000185222375672738,-0.0248319823949354
"3","Acipenser persicus",0.0200943298054343,0.00322231112441969,-0.000524368893277134,-0.0505762756824865
"4","Alloteuthis media",0.0206729900750771,0.00268318150546346,5.42913763656658e-05,-0.0148605683785054
"5","Alloteuthis subulata",0.0205215823779419,0.00292294525100269,-9.71163207696239e-05,-0.0115909237225727
"6","Alosa fallax",0.0207306491515836,0.00259168631537206,0.000111950452872073,-0.0201339335741694
"7","Amblyraja hyperborea",0.020752251368216,0.00261455567129362,0.000133552669504523,0.0184380353228327
"8","Amblyraja radiata",0.0207977988699638,0.00256165290738038,0.000179100171252299,0.0216059467298172
"9","Ammodytes tobianus",0.0205216481970549,0.00291719081769387,-9.70505016566307e-05,-0.0120686722247944
"10","Anguilla anguilla",0.0205961019224154,0.002815482387518,-2.25967762960619e-05,-0.0253899438740011
"11","Anoplogaster cornuta",0.0204795263637248,0.00298729940007093,-0.000139172334986656,0.0113665062267166
"12","Aphanopus carbo",0.0168674287068358,0.0132052922500207,-0.00375126999187569,0.332895115186571
"13","Aphos porosus",0.0206376705019518,0.00292131496319635,1.89718032403557e-05,-0.00576792214733406
"14","Arctogadus glacialis",0.0212456766334847,0.00219710357004987,0.000626977934773225,-0.0794776226108057
"15","Argentina silus",0.0206059215972979,0.00280143968649517,-1.27771014135393e-05,-0.00937620389875253
"16","Bathylagus euryops",0.0206113650892506,0.00282198693369634,-7.3336094608932e-06,-0.0226932687279958
"17","Bathyraja spinicauda",0.0207170791727375,0.00266726596461994,9.83804740259768e-05,0.0120632697719447
"18","Belone belone",0.0208953041811932,0.00239934641403984,0.000276605482481707,-0.00532217009354624
"19","Benthosema glaciale",0.0207064275442867,0.00266816342825693,8.77288455751815e-05,-0.0365091126999574
"20","Boops boops",0.0207380950029996,0.00262424009353169,0.00011939630428812,-0.0202807976026419
"21","Boreogadus saida",0.020662485184536,0.00273448807734559,4.37864858245512e-05,-0.0135688745672162
"22","Borostomias antarcticus",0.0206028047892131,0.00281537965035434,-1.58939094983615e-05,-0.0107792266241323
"23","Brama brama",0.0205132156348309,0.00292684087825051,-0.000105483063880557,-0.0133021622601474
"24","Callionymus lyra",0.0205180628689634,0.00291692198148972,-0.000100635829748123,-0.0122954779161802
"25","Caulolatilus princeps",0.0203339368118871,0.0029873000763613,-0.000284761886824369,0.0219373581210042
"26","Centrophorus squamosus",0.0214647094880246,0.00202584618005972,0.000846010789313151,-0.0524093111972665
"27","Ceratoscopelus maderensis",0.0206324119142028,0.00274980169145205,1.37132154913316e-05,-0.00498418503363781
"28","Chaenocephalus aceratus",0.020455711317227,0.00301892922532215,-0.000162987381484524,-0.0190417803467291
"29","Chaenodraco wilsoni",0.0205580499576969,0.00287569638218361,-6.06487410146038e-05,-0.00591354881110901
"30","Champsocephalus gunnari",0.0203851962701766,0.00312159495244388,-0.000233502428534905,-0.022325243955571
"31","Chauliodus sloani",0.0206240815606801,0.00281370114534688,5.3828619686648e-06,-0.041216342249252
"32","Chiasmodon harteli",0.0204511719684072,0.00298445819683035,-0.000167526730304332,0.0211628108101071
"33","Chionodraco hamatus",0.0205739661264657,0.00285828407397055,-4.4732572245746e-05,-0.0042489198835071
"34","Chionodraco rastrospinosus",0.0205354416800682,0.00295568750248901,-8.32570186432464e-05,-0.00595225488366881
"35","Citharichthys sordidus",0.0205096421998111,0.00246017933273405,-0.000109056498900421,0.0473064762016843
"36","Clupea harengus",0.0223909773107762,0.00128074746762067,0.00177227861206471,0.119820256196059
"37","Conger conger",0.0207143946353741,0.00267482363434763,9.56959366626015e-05,0.0138417718127514
"38","Coris julis",0.0205213943237215,0.00291380394644391,-9.73043749899725e-05,-0.0123941071801406
"39","Coryphaenoides mediterraneus",0.020644448444016,0.0027590288791108,2.57497453045666e-05,-0.0114408357970927
"40","Cryodraco antarcticus",0.0204012568006529,0.00310398871853668,-0.000217441898058598,-0.0204715236829004
"41","Cynoscion guatucupa",0.0209083368800286,0.00249258642212424,0.00028963818131714,-0.0186906637111296
"42","Diaphus holti",0.0206736313892974,0.00267795419749586,5.4932690585912e-05,-0.0148397605169104
"43","Dicentrarchus labrax",0.0206186986987115,0.00276983189886343,NA,NA
"44","Diplodus annularis",0.0206857993025416,0.00268728951463468,6.71006038300698e-05,-0.0140420235313658
"45","Diplodus sargus",0.0205221659205138,0.00291579724611628,-9.65327781977006e-05,-0.0121756246333929
"46","Dissostichus mawsoni",0.0205244252644582,0.00292396081507892,-9.42734342533266e-05,-0.00792722810923813
"47","Doryteuthis gahiæ",0.0205926986969989,0.00283630209458255,-2.60000017126248e-05,-0.00484721281123618
"48","Electrona antarctica",0.0212576928279227,0.00229661315183249,0.000638994129211215,-0.00598886849935449
"49","Electrona carlsbergi",0.0206084682726017,0.00304617676609765,-1.02304261097481e-05,0.000338455037794428
"50","Eleutheronema tetradactylum",0.020715338453538,0.00288442541824944,9.66397548264955e-05,-0.00450783858850487
"51","Engraulis encrasicolus",0.0208862620591803,0.00286878663706128,0.000267563360468768,-0.0264437711266951
"52","Epinephelus areolatus",0.0203830828153881,0.00322557653755847,-0.000235615883323406,0.0166385191251187
"53","Epinephelus morio",0.0199826338446954,0.00341956106168787,-0.000636064854016117,-0.112162952533275
"54","Etmopterus spinax",0.0206024923225512,0.00282597525906808,-1.62063761602431e-05,-0.00536786351892858
"55","Eutrigla gurnardus",0.0192408367056676,0.00475941371809373,-0.00137786199304386,0.110801176494505
"56","Gadus morhua",0.0219704923536195,0.00213955958041717,0.00135179365490802,0.140375065744559
"57","Gaidropsarus granti",0.0206585973857953,0.00279070136950811,3.98986870838065e-05,0.0212447857162713
"58","Genyonemus lineatus",0.0205440139524263,0.00246326859785506,-7.46847462852265e-05,0.0441368172555079
"59","Gobionotothen gibberifrons",0.0204162889414263,0.00308794900875372,-0.000202409757285145,-0.0192625756789847
"60","Gymnodraco acuticeps",0.0205570953101782,0.0028893874684612,-6.16033885332372e-05,-0.00532270073580458
"61","Gymnoscopelus nicholsi",0.0204435122139323,0.00331796823082062,-0.000175186484779138,0.000561913662661314
"62","Harpagifer antarcticus",NA,0.00288004363535733,NA,-3.75038906685924e-05
"63","Helicolenus dactylopterus",NA,0.00288004363535733,NA,0.0566269782743046
"64","Hippoglossoides platessoides",0.021070923680808,0.00266123804890623,0.000452224982096506,-0.0693228233571141
"65","Hippoglossus hippoglossus",0.0205336374133254,0.0029202486239661,-8.50612853861114e-05,0.00534861166360556
"66","Huso huso",0.0203916919216211,0.00277257168028021,-0.00022700677709037,-0.042701383005584
"67","Hygophum benoiti",0.0206715727200328,0.00268704678910666,5.28740213213176e-05,-0.0151102627176457
"68","Hyperoplus lanceolatus",0.0205130094640087,0.00293606230339907,-0.000105689234702767,-0.0124981464881157
"69","Hypomesus pretiosus",0.0221538634201994,0.00166796467138369,0.00153516472148795,0.0283999253029533
"70","Illex coindetii",0.0207821799292238,0.00276890478028765,0.000163481230512338,0.071505445940012
"71","Labrus bergylta",0.0204692327669572,0.00297008548818455,-0.000149465931754307,-0.0225400204938741
"72","Lagocephalus sceleratus",0.0206747915858391,0.00271276266732263,5.60928871276359e-05,-0.00633050363209363
"73","Lampanyctus crocodilus",0.0206927958248671,0.00264573981311102,7.40971261556644e-05,-0.0176186504329258
"74","Lampanyctus macdonaldi",0.020634902001374,0.00281112564537388,1.62033026625333e-05,-0.0485178785086335
"75","Lepidonotothen squamifrons",0.020791464629976,0.00262039405175293,0.00017276593126455,0.019216049551329
"76","Lepidopus caudatus",0.020599475206382,0.00284512971896081,-1.92234923294919e-05,-0.005919569143584
"77","Lepidorhombus boscii",0.0208180391381607,0.00253649906802162,0.000199340439449195,0.0269036110498429
"78","Lindbergichthys nudifrons",0.0206002362710166,0.00283849862278684,-1.84624276948937e-05,-0.00143163061753518
"79","Liza ramada",0.0207432835362559,0.00256703065350501,0.000124584837544427,-0.0210494794843504
"80","Lobianchia dofleini",0.020670817044253,0.00269075032310839,5.2118345541502e-05,-0.014552612026899
"81","Lophius budegassa",0.0204431775294096,0.00298994874946043,-0.000175521169301869,0.0245838375275925
"82","Lophius piscatorius",0.0207036107359329,0.00267354824405938,8.49120372213713e-05,0.034162984299115
"83","Luciobarbus capito",0.0205157339058065,0.00288517956293436,-0.000102964792904961,-0.0123946819822642
"84","Lycenchelys aratrirostris",0.0205614211130315,0.00287310163718702,-5.72775856799781e-05,-0.00560143088718364
"85","Macrourus berglax",0.0206257812296229,0.00276108780541911,7.082530911421e-06,0.0108914319133344
"86","Mallotus villosus",0.0209079750377293,0.0025810670529645,0.000289276339017847,0.00714515103083882
"87","Maurolicus muelleri",0.0206231609683914,0.00277481831337224,4.46226967991403e-06,0.0032747250928883
"88","Merlangius merlangus",0.0206850278004977,0.0026798649633449,6.6329101786191e-05,-0.00515421178634988
"89","Merluccius hubbsi",0.0208161116732716,0.00264733332112741,0.000197412974560156,0.0204182765729047
"90","Merluccius merluccius",NA,0.00288004363535733,NA,0.097788398158712
"91","Micromesistius australis",0.0208548231606296,0.00253820240464017,0.000236124461918074,0.027926334649209
"92","Micromesistius poutassou",0.02025382633719,0.00343723632169114,-0.000364872361521482,0.105215341493885
"93","Molva dypterygia",0.0207137091117174,0.00265975128076002,9.50104130059172e-05,0.0129768750751174
"94","Mora moro",0.020304165465126,0.0035643620383037,-0.000314533233585462,0.0998903192270234
"95","Mugil cephalus",0.0208286222142452,0.00243334458451862,0.000209923515533703,-0.0360513072468524
"96","Mullus barbatus barbatus",0.0206070780777756,0.00289737597052793,-1.16206209358899e-05,0.00851719399348023
"97","Mullus barbatus ponticus",0.0206921806163609,0.0026415202443914,7.34819176494636e-05,-0.0146822738362732
"98","Mullus surmuletus",0.0204721698625655,0.00296572487377309,-0.000146528836145979,-0.0217077060300731
"99","Muraenolepis microps",0.0205494649438763,0.00288776634232407,-6.92337548352066e-05,-0.00695394189086019
"100","Myctophum punctatum",0.0206489889042903,0.00268924485086312,3.02902055788166e-05,0.00140709896063451
"101","Neogobius caspius",0.0205382064749863,0.00286851896506707,-8.04922237251683e-05,-0.00911089180158892
"102","Neogobius fluviatilis",0.0205420331797503,0.00286081392519031,-7.66655189612005e-05,-0.00857460420941612
"103","Neogobius melanostomus",0.0206549208644333,0.00268618767050428,3.62221657217859e-05,-0.023649289063507
"104","Neopagetopsis ionah",0.0205433607897578,0.0028913702588468,-7.5337908953671e-05,-0.00747413843073578
"105","Notolepis sp",0.0205246715152734,0.00291221627977891,-9.40271834380391e-05,-0.00965896389821324
"106","Notoscopelus elongatus",0.0205433425565927,0.00292752156552805,-7.53561421188154e-05,0.0148786322469488
"107","Notothenia coriiceps",0.0206613932040176,0.00275890122073409,4.26945053061366e-05,0.00408611019938425
"108","Notothenia rossii",0.021085523709869,0.00235109395176319,0.00046682501115752,0.0499436379248111
"109","Nototheniops nybelini",0.0205314551439275,0.00295541662946583,-8.72435547839383e-05,-0.00757607830780011
"110","Oedalechilus labeo",0.0205216331662117,0.00291716412059688,-9.70655324998224e-05,-0.0120736661115772
"111","Oncorhynchus gorbuscha",0.0204414536496906,0.00299223373325426,-0.000177245049020877,0.0108603285260598
"112","Oncorhynchus keta",0.0199154693785618,0.00368331313141258,-0.000703229320149639,0.0437886771582105
"113","Oncorhynchus kisutch",0.0206186986987115,0.00276983189886343,NA,NA
"114","Oncorhynchus mykiss",0.0206186986987115,0.00276983189886343,NA,NA
"115","Oncorhynchus nerka",0.0203106488930854,0.00308240182236548,-0.000308049805626123,0.0196356176588552
"116","Pagellus erythrinus",0.0207861999153242,0.00255425090238037,0.000167501216612728,-0.0256069326108498
"117","Pagetopsis macropterus",0.0205699722393494,0.00286306433888353,-4.87264593620577e-05,-0.00466507711540758
"118","Pagrus pagrus",0.0204537018775962,0.00306504256518189,-0.000164996821115319,0.0118008554701562
"119","Percophis brasiliensis",0.0205734296704346,0.00295941434030884,-4.52690282768536e-05,0.00929092598921658
"120","Phycis blennoides",0.020521608371229,0.00283334752602242,-9.70903274825144e-05,-0.0460829027030928
"121","Phycis phycis",0.0205808759664238,0.00283676645969948,-3.7822732287654e-05,-0.00446233900583475
"122","Plagioscion squamosissimus",0.0206855162930081,0.00279126614911455,6.68175942966365e-05,-0.00377717208538664
"123","Platichthys flesus",0.018537872095859,0.00802300816466926,-0.0020808266028525,-0.1635897520499
"124","Pleuragramma antarctica",0.020552194990912,0.00293392678980916,-6.65037077995263e-05,-0.00596414763591258
"125","Pogonophryne marmorata",0.0205299079733596,0.00290619526739324,-8.87907253519192e-05,-0.00903472805036254
"126","Pollachius pollachius",0.0205202764226328,0.00291661445072042,-9.84222760786677e-05,-0.0122226504005976
"127","Pomatomus saltator",0.020729915089173,0.00257823338081382,0.000111216390461525,-0.0200507021277893
"128","Ponticola bathybius",NA,0.00288004363535733,NA,-0.0404970825597112
"129","Ponticola kessleri",0.0205152236199642,0.00288959575849296,-0.000103475078747289,-0.0123569182104126
"130","Poromitra crassiceps",0.0206281094753488,0.00278137144827428,9.41077663732526e-06,-0.0108304353000037
"131","Prionace glauca",0.0207619464656782,0.0026130344402077,0.000143247766966725,0.0210826502081876
"132","Pseudochaenichthys georgianus",0.020742149190804,0.00266870229218188,0.00012345049209251,0.0149186017309489
"133","Pseudopercis semifasciata",0.0212002393247043,0.00216567516177141,0.000581540625992843,-0.0556326872583155
"134","Pseudopleuronectes americanus",0.0206890573621475,0.0027410634330574,7.03586634359689e-05,-0.0299022432759914
"135","Raja brachyura",0.0205519439490809,0.0028844477317619,-6.67547496305855e-05,-0.0202573674100393
"136","Raja microocellata",0.0205474531533192,0.00289112039025697,-7.12455453922324e-05,-0.0197145023305547
"137","Reinhardtius hippoglossoides",0.020178198757307,0.00427221493870425,-0.000440499941404517,0.0725076275784053
"138","Rexea solandri",0.0217236439071075,0.00229254144877581,0.00110494520839598,0.0516741733777523
"139","Rutilus kutum",0.0205064012602995,0.0028844958584795,-0.000112297438412009,-0.0142712414771547
"140","Salmo salar",0.0201230460434177,0.00348084512244099,-0.000495652655293787,0.0242746661093192
"141","Salmo trutta",0.0211052933475347,0.00247151737590427,0.000486594648823245,-0.0462018822566801
"142","Sarda sarda",0.0207334714886646,0.00258202537965808,0.000114772789953158,-0.0199258549582192
"143","Sardina pilchardus",0.0209499260895993,0.00237722832433354,0.000331227390887819,-0.102366610503813
"144","Sardinella aurita",0.0207293699649533,0.00267210741241506,0.000110671266241806,-0.0121339504259006
"145","Sarpa salpa",0.0207009046073115,0.0026386947037764,8.22059086000408e-05,-0.0158891298087846
"146","Scomber colias",0.0199806673867934,0.00395810020022528,-0.000638031311918065,0.0717156879984276
"147","Scomber japonicus",0.020389060309953,0.00325926230537425,-0.000229638388758471,0.0704800010626029
"148","Scomber scombrus",0.0201878991478152,0.00368542655913101,-0.000430799550896255,0.0836415767991315
"149","Scopelogadus beanii",0.0206593646922558,0.00274861030734362,4.06659935442907e-05,-0.0251018570640842
"150","Scopelogadus mizolepis",0.0206593646922558,0.00274861030734362,4.06659935442907e-05,-0.0251018570640842
"151","Scophthalmus maximus",0.0208193275550435,0.0024463045062207,0.000200628856332059,-0.0293726241223598
"152","Scorpaena scrofa",0.0207249979924351,0.0026550877684856,0.000106299293723602,0.0153214787345865
"153","Scyliorhinus canicula",0.0202873325658791,0.00329626188177462,-0.000331366132832363,-0.0774188703229803
"154","Sebastes capensis",0.0206685817604171,0.00272343462661214,4.98830617056099e-05,0.00518571067384874
"155","Sebastes fasciatus",0.020639022033909,0.0027478505995704,2.03233351975113e-05,0.00680063842572274
"156","Sebastes mentella",0.0204521615417571,0.00318389363284838,-0.000166537156954364,0.0194016745458299
"157","Sebastes miniatus",0.0202662387114072,0.00300652399749762,-0.000352459987304297,0.0280639816773249
"158","Sepia elegans",0.020496911943153,0.00294333159903365,-0.000121786755558465,-0.016264369436815
"159","Sepia officinalis",0.0205843799881298,0.00282803846102201,-3.43187105816926e-05,-0.00467367470152573
"160","Sepia orbignyana",0.0205094848832597,0.00293418944778474,-0.000109213815451811,-0.0138165325987764
"161","Sepietta oweniana",0.0206624420589699,0.00270303805183256,4.37433602584331e-05,-0.0137660748586071
"162","Sparus aurata",0.0205212483263477,0.00291656228301042,-9.74503723638297e-05,-0.0121360896963623
"163","Sphyraena sphyraena",0.0207590215214957,0.0025412978923064,0.000140322822784249,-0.0231302656438528
"164","Spicara maena",0.020713188172866,0.00261750603298862,9.44894741544827e-05,-0.0174705272900064
"165","Spicara smaris",0.0207014840668982,0.00269371181088773,8.27853681867122e-05,-0.00932489861863095
"166","Spondyliosoma cantharus",0.0207477025202432,0.00262279785478591,0.000129003821531689,0.0170125197394441
"167","Sprattus sprattus",0.0208708366224794,0.00251528533654538,0.000252137923767937,-0.0749182982544961
"168","Syacium gunteri",0.0206609177065818,0.00273767052189916,4.22190078703429e-05,-0.00510427266791101
"169","Symphodus melops",0.0205215194642676,0.00291507887231464,-9.71792344438907e-05,-0.0119904346651972
"170","Thunnus thynnus",0.0206162650516411,0.00277316093848766,-2.43364707042462e-06,-0.00980031561421931
"171","Thyrsites atun",0.0192986568648869,0.00524200110586052,-0.00132004183382454,0.0585008293252175
"172","Todarodes sagittatus",0.0206875556009526,0.00271148304096351,6.88569022411628e-05,0.0125011285115138
"173","Todaropsis eblanae",0.0206333858076979,0.00275117280284607,1.46871089864373e-05,0.00221776534577802
"174","Trachurus mediterraneus",0.0204658598035082,0.0031193548319158,-0.00015283889520324,0.0289359251457127
"175","Trachurus picturatus",NA,0.00288004363535733,NA,-0.0367397619066277
"176","Trachurus trachurus",0.0207453448362393,0.00283617733156617,0.000126646137527834,0.0751319689265138
"177","Trematomus bernacchii",0.020555327954991,0.00289152704002462,-6.33707437205193e-05,-0.00548916362856476
"178","Trematomus eulepidotus",0.0208077841802995,0.00259049525359523,0.000189085481588046,0.0194965174806004
"179","Trematomus hansoni",0.0205327333237748,0.0029142820084624,-8.59653749367036e-05,-0.00752833406487709
"180","Trematomus lepidorhinus",0.0205739661264657,0.00285828407397055,-4.4732572245746e-05,-0.0042489198835071
"181","Trematomus newnesi",0.0205767359329541,0.00286513814415212,-4.19627657573529e-05,-0.00347080105384748
"182","Trisopterus luscus",0.0207269963228528,0.00264728453711127,0.00010829762414136,0.0160605789889678
"183","Umbrina cirrosa",0.0207920365430703,0.00248535296388527,0.000173337844358808,-0.026875680730957
"184","Xiphias gladius",0.0221779020575122,0.00154352188177163,0.00155920335880076,-0.0828320279033566
"185","Zeus faber",0.0203732931100946,0.00326325428316502,-0.000245405588616888,0.0397797633393702
